run_id,trike_id,origin_edge,dest_edge,distance,price,tick,driver_asp,passenger_asp
run002,trike6,E23,E0,617.7399999999999,50,198,50.0,55.42
run002,trike60,E196,-E3,2184.4599999999996,120,190,120.0,131.31
run002,trike7,E23,-E3,1674.81,100,281,100.0,131.76
run002,trike42,E74,E56,838.5799999999999,50,714,50.0,18.57
run002,trike21,E41,E3,429.76,50,976,50.0,24.73
run002,trike1,E23,E56,2328.2799999999997,120,797,120.0,164.89
run002,trike10,E162,E3,1334.5600000000002,70,1212,70.0,82.86
run002,trike15,E57,E28,1938.6399999999999,100,1117,100.0,101.33
run002,trike43,E74,E56,838.5799999999999,50,1382,50.0,50.57
run002,trike4,E23,-E3,1674.81,100,1295,100.0,123.45
run002,trike9,E23,-E3,1674.81,100,1606,100.0,309.64
run002,trike42,E74,E56,838.5799999999999,50,1833,50.0,42.94
run002,trike5,E23,-E3,1674.81,150.0,1812,1123.47,168.48
run002,trike64,E196,E28,973.91,50,2013,50.0,29.02
run002,trike43,E74,E3,859.9,50,1999,50.0,81.58
run002,trike60,E196,E28,973.91,50,2109,50.0,64.63
run002,trike16,E57,E0,2092.1200000000003,120,2376,120.0,133.9
run002,trike35,E97,E28,2061.25,120,2391,170.0,223.23
run002,trike43,E74,E3,859.9,50,3018,50.0,57.75
run002,trike6,E23,E28,464.25999999999993,50,3116,50.0,14.72
run002,trike64,E196,E28,973.91,50,3063,50.0,27.99
run002,trike29,E41,E0,1163.06,70,3470,70.0,156.56
run002,trike42,E74,E56,838.5799999999999,50,3557,50.0,43.9
run002,trike43,E74,-E3,900.94,50,3756,50.0,11.11
run002,trike36,E97,E28,2061.25,120,3602,130.0,138.29
run002,trike38,E97,E3,1073.3,70,3932,70.0,176.31
run002,trike28,E41,-E3,470.8,50,4315,50.0,28.97
run002,trike61,E196,E0,1127.39,70,4194,70.0,60.32
run002,trike21,E41,E3,429.76,50,4424,50.0,9.77
run002,trike60,E196,E0,1127.39,70,4220,70.0,54.84
run002,trike64,E196,E28,973.91,50,4530,50.0,124.34
run002,trike45,E154,E0,1699.0499999999997,150.0,4362,317.99,183.21
run002,trike30,E106,E3,1814.4499999999998,100,4865,100.0,165.75
