trike_id,hub_id,start_tick,end_tick
trike0,hub8,530,1080
trike1,hub8,399,1080
trike2,hub8,681,893
trike3,hub8,396,1080
trike4,hub8,416,1026
trike5,hub8,418,1080
trike6,hub8,406,1080
trike7,hub8,472,1080
trike8,hub8,421,1080
trike9,hub8,394,1080
trike10,hub7,434,1080
trike11,hub7,394,1080
trike12,hub7,527,1080
trike13,hub7,472,1080
trike14,hub7,390,1080
trike15,hub6,318,1080
trike16,hub6,424,1080
trike17,hub6,317,1009
trike18,hub6,343,1080
trike19,hub6,376,1080
trike20,hub5,500,1011
trike21,hub5,410,1080
trike22,hub5,444,1080
trike23,hub5,494,1080
trike24,hub5,296,1080
trike25,hub5,329,1080
trike26,hub5,448,1046
trike27,hub5,416,1080
trike28,hub5,441,1061
trike29,hub5,432,1080
trike30,hub4,547,1080
trike31,hub4,487,1080
trike32,hub4,446,1080
trike33,hub4,431,1080
trike34,hub4,415,1080
trike35,hub3,360,778
trike36,hub3,333,1080
trike37,hub3,457,1080
trike38,hub3,461,1080
trike39,hub3,449,1077
trike40,hub2,384,1080
trike41,hub2,518,786
trike42,hub2,379,1080
trike43,hub2,312,1078
trike44,hub2,435,1047
trike45,hub1,340,1080
trike46,hub1,378,1080
trike47,hub1,382,1080
trike48,hub1,406,1080
trike49,hub1,425,1055
trike50,hub1,355,1080
trike51,hub1,290,916
trike52,hub1,378,1080
trike53,hub1,435,1080
trike54,hub1,366,962
trike55,hub1,295,1080
trike56,hub1,571,1080
trike57,hub1,457,1080
trike58,hub1,489,928
trike59,hub1,282,1080
trike60,hub0,371,1080
trike61,hub0,442,1080
trike62,hub0,389,1080
trike63,hub0,395,1080
trike64,hub0,347,1080
