trike_id,hub_id,start_tick,end_tick
trike0,hub8,352,1080
trike1,hub8,418,714
trike2,hub8,345,1080
trike3,hub8,363,1080
trike4,hub8,462,988
trike5,hub8,254,1080
trike6,hub8,373,1080
trike7,hub8,514,1080
trike8,hub8,451,1080
trike9,hub8,436,1080
trike10,hub7,398,1080
trike11,hub7,336,1036
trike12,hub7,365,1080
trike13,hub7,396,1080
trike14,hub7,359,1052
trike15,hub6,477,1080
trike16,hub6,381,1080
trike17,hub6,485,1080
trike18,hub6,381,1080
trike19,hub6,411,1080
trike20,hub5,412,1080
trike21,hub5,392,1080
trike22,hub5,451,1080
trike23,hub5,408,1080
trike24,hub5,213,1080
trike25,hub5,378,1080
trike26,hub5,375,1080
trike27,hub5,459,1080
trike28,hub5,286,1045
trike29,hub5,464,1080
trike30,hub4,297,1080
trike31,hub4,361,950
trike32,hub4,512,1080
trike33,hub4,462,1080
trike34,hub4,299,1067
trike35,hub3,333,1080
trike36,hub3,583,1080
trike37,hub3,399,1080
trike38,hub3,506,1080
trike39,hub3,282,1080
trike40,hub2,450,902
trike41,hub2,337,1080
trike42,hub2,380,907
trike43,hub2,333,1080
trike44,hub2,224,1080
trike45,hub1,390,1080
trike46,hub1,342,1080
trike47,hub1,421,1080
trike48,hub1,378,966
trike49,hub1,415,948
trike50,hub1,361,1080
trike51,hub1,472,1074
trike52,hub1,305,1080
trike53,hub1,277,1080
trike54,hub1,555,1080
trike55,hub1,406,1080
trike56,hub1,399,1080
trike57,hub1,447,1080
trike58,hub1,389,1080
trike59,hub1,294,1080
trike60,hub0,356,1080
trike61,hub0,367,935
trike62,hub0,402,1080
trike63,hub0,466,1080
trike64,hub0,355,1080
